page,line,text
1,1,U.S. Department of Justice
1,2,"AttarAe:,c\\'erlc Predtiet // Mtt; CeA1:ttiA"
1,3,Ma1:ertalPrn1:eetedUAder Fed. R. Crhtt. P. 6(e)
1,4,Report On The Investigation Into
1,5,Russian InterferenceIn The
1,6,2016 PresidentialElection
1,7,Volume I of II
1,8,"Special Counsel Robert S. Mueller, III"
1,9,Submitted Pursuant to 28 C.F.R. § 600.8(c)
1,10,"Washington, D.C."
1,11,March 2019
1,12,NA
2,1,U.S. Department of Justice
2,2,Atl6rney W6rk Pr6d1:1et// May C6ntain MEtterial Pr6teeted Under Fed . R. Criffl. P. 6(e)
2,3,NA
3,1,U.S. Department of Justice
3,2,"At:t:ef'fle)'Werle Predttet /,' Ma;· CeHtail'lMaterial Preteeted UHder Fed. R. Crim. P. 6(e)"
3,3,TABLE OF CONTENTS - VOLUME I
3,4,INTRODUCTION TO VOLUME I ......... .......................................................            ............ .............................. 1
3,5,"EXECUTIVE SUMMARY TO VOLUME                 1................................................. ,............................................. 4"
3,6,"I. THE SPECIAL COUNSEL'S INVESTIGATION .....................................................                       .. ..................    ,....... 11"
3,7,"II. RUSSIAN ""ACTIVE MEASURES"" SOCIAL MEDIA CAMPAIGN ............................................                                           ... ...... 14"
3,8,A. Structure of the Internet Research Agency ...................................... ........................... 15
3,9,B. Funding and Oversight from Concord and Prigozhin .................................. ... ............ 16
3,10,C. The IRA Targets U.S. Elections .............. ....................................................................                         19
3,11,"1. The IRA Ramps Up U.S. Operations As Early As 2014 ............. .......... , .............. 19"
3,12,2. U.S. Operations Through IRA-Controlled Social Media Accounts ........ ......... .... 22
3,13,3. U.S. Operations Through Facebook. .....................................................................                               24
3,14,4. U.S. Operations Through Twitter ................. ....... ............ .....................................                          26
3,15,a. Individualized Accounts ............................... ....... ................ ................ ............. 26
3,16,b. IRA Botnet Activities .................................. ......... ............... .............. .......... .... 28
3,17,5. U.S. Operations Involving Political Rallies ............... ...... ....... ................. ........... .. 29
3,18,6. Targeting and Recruitment of U.S. Persons .................. ............ .......................... .. 31
3,19,7. Interactions and Contacts with the Trump Campaign ...........................................                                         33
3,20,a. Trump Campaign Promotion ofIRA Politica l Materials ........... ...................... 33
3,21,b. Contact with Trump Campaign Officials in Connection to Rallies ................. 35
3,22,Ill. RUSSIAN HACKING AND DUMPING OPERATIONS ..................................................                                 ...... .............   36
3,23,A. GRU Hacking Directed at the Clinton Campaign ................. .......... ............... ............. 36
3,24,1. GRU Units Target the Clinton Campaign .................. .................... ....................... 36
3,25,2. Intrusions into the DCCC and DNC Networks ................... ................... ...... ......... 38
3,26,a. Initial Access .................................... ....... ......... ..... .......................... ......... ........ 3 8
3,27,b. Implantation ofMalware on DCCC and DNC Networks ................................ 38
3,28,c. Theft of Documents from DNC and DCCC Networks .................................... 40
3,29,B. Dissemination of the Hacked Materials ................. ......... ......................... ....... ............ 41
3,30,I. DCL ea ks ........ ............................. ................................. .................. .................. ..... 41
3,31,2 . Guccifer 2.0 ............ .............. .................. ............. ..................................................         42
3,32,3. Use of WikiLeaks ......... ........... ..... ......... :......... ...................... ............................... 44
3,33,a. WikiLeaks 's Expressed Opposition Toward the Clinton Campaign ............... 44
3,34,b. WikiLeaks's First Contact with Guccifer 2.0 and DCLeaks ........................... 45
3,35,NA
4,1,U.S. Department of Justice
4,2,"MterHey Werk Pretittet // Ma,· Cel'ltail'IMaterial Preteeteti UH:tierFee. R. Crim. P. 6(e)"
4,3,c. The GRU ' s Transfer of Stolen Materials to WikiLeaks ........... ....................... 45
4,4,d. · WikiLeaks Statements Dissembling About the Source of Stolen
4,5,Materials ......................................... ................ ......................................... ...... 48
4,6,C. Additional GRU Cyber Operations .............................................................................                  49
4,7,l. Summer and Fall 2016 Operations Targeting Democrat-Linked Victims ............ 49
4,8,2. Intrusions Targeting the Administration of U .S. Elections ................................... 50
4,9,D. Trump Campaign and the Dissemination of Hacked Materials .................................. 51
4,10,l.                          ...................................................................................... ........ 51
4,11,a. Background ..................... .............................................. .......... ......................... 51
4,12,b. Contacts with the Campaign about WikiLeaks ................................................ 52
4,13,C.  Harm to Ongoing Matter                                                                            .................... 54
4,14,"d. WikiLeaks ' s October 7, 2016 Release of Stolen Podesta Emails ................ .... 58"
4,15,e. Donald Trump Jr. Interaction with WikiLeaks ................................................ 59
4,16,2. Other Potential Campaign Interest in Russian Hacked Materials ............. ............ 61
4,17,a. Henry Oknyansky (a/k/a Henry Greenberg) ................................................ .... 61
4,18,b. Campaign Efforts to Obtain Deleted Clinton Emails .............................. ........ 62
4,19,IV. RUSSIAN GOVERNMENT LINKS To AND CONTACTS WITH THE TRUMP CAMPAIGN ................ 66
4,20,"A. Campaign Period (September 2015 - November 8, 2016) ......................................... 66"
4,21,1. Trump Tower Moscow Project .................................. ........................... ............ .... 67
4,22,a. Trump Tower Moscow Venture with the Crocus Group (2013 -2014) ............ 67
4,23,b. Communications with LC . Expert Investment Company and Giorgi
4,24,Rtskhiladze (Summer and Fall 2015) ............................................................                       69
4,25,c. Letter of Intent and Contacts to Russian Government (October 2015-
4,26,January 2016) ................................................................................................        70
4,27,i. Trump Signs the Letter of Intent on behalf of the Trump Organization .... 70
4,28,ii. Post-LOI Contacts with Individuals in Russia ......................................... 72
4,29,d. Discussions about Russia Travel by Michael Cohen or Candidate Trump
4,30,(December 2015-June 2016) ........................ .............. ............. ...................... 76
4,31,i. Sater ' s Overtures to Cohen to Travel to Russia ........................................ 76
4,32,ii. Candidate Trump's Opportuniti es to Travel to Russia ............................ 78
4,33,2. George Papadopoulos .......................................... ...................................... ........... 80
4,34,a. Origins of Campaign Work .............. ................................................................ 81
4,35,b. Initial Russia-Related Contacts ........ ............................... ................................. 82
4,36,c. March 31 Foreign Policy Team Meeting ......................................................... 85
4,37,ii
4,38,NA
5,1,U.S. Department of Justice
5,2,Wet'k Pt'etlttet /I Ma:y CeHtttiHMat:ef'ittlPreteetetl UHtler Fee. R. Crim. P. 6(e)
5,3,At-1:effley
5,4,"d. George Papadopoulos Learns That Russia Has ""Dirt"" in the Form of"
5,5,Clinton Emails ............. ....... ............................ ........... ............ ........... ............. 86
5,6,e. Russia-Related Communications With The Campaign .................................... 89
5,7,"f. Trump Campaign Knowledge of ""Dirt"" ...........................................................                                93"
5,8,g. Additional George Papadopoulos Contact.. .................... ......... ........................ 94
5,9,3. Carter Page ........................................ ........ ...... ................... ................................... 9 5
5,10,a. Background ......................................................................................................             96
5,11,b. Origins of and Early Campaign Work .............................................................                              97
5,12,c. Carter Page's July 2016 Trip To Moscow ..................................................... ... 98
5,13,d. Later Campaign Work and Removal from the Campaign ............................ . 102
5,14,4. Dimitri Simes and the Center for the National Interest ...................................... 103
5,15,a. CNI and Dimitri Simes Connect with the Trump Campaign ................... ...... 103
5,16,b. National Interest Hosts a Foreign Policy Speech at the Mayflower Hotel
5,17,........... ..................................... ..... ............................................ ................... . 105
5,18,c. Jeff Sessions's Post -Speech Interactions with CNI ....................................... 107
5,19,d. Jared Kushner' s Continuing Contacts with Simes ......................................... 108
5,20,"5. June 9, 2016 Meeting at Trump Tower ........... .................... ...... ,......................... 110"
5,21,a. Setting Up the June 9 Meeting .......................................................................                        110
5,22,i. Outreach to Donald Trump Jr ..................................................................                          110
5,23,ii. Awareness of the Meeting Within the Campaign ........................ ........... 114
5,24,"b. TheEventsofJune9                   , 2016 ............................ .................... ................. ........... 116"
5,25,i. Arrangements for the Meeting ................................................................                           116
5,26,ii. Conduct of the Meeting ............... ................................... ........................ 117
5,27,c. Post-June 9 Events ................................................................. ........................ 120
5,28,6. Events at the Republican National Convention ..................................................                                  123
5,29,a.  Ambassador Kislyak's Encounters with Senator Sessions and J.D.
5,30,Gordon the Week of the RNC .....................................................................                           123
5,31,b. Change to Republican Party Platform ............................................................                             124
5,32,7. Post-Convention Contacts with Kislyak ................................ :.............. .............. 127
5,33,a.    Ambassador Kislyak Invites J.D. Gordon to Breakfast at the
5,34,Ambassador's Residence ........................... ................ ......................... ......... 127
5,35,b. Senator Sessions's September 2016 Meeting with Ambassador Kislyak ...... 127
5,36,8. Paul Manafort .............. .................... ........................................................... ......... 129
5,37,a. Paul Manafort' s Ties to Russia and Ukraine ..................................................                               131
5,38,lll
5,39,NA
6,1,U.S. Department of Justice
6,2,"Atten1e~· Werk Pred1:1et/,' Mtty Cefltaifl Material Preteeted Uflder Fed. R. Criffl. P. 6(e)"
6,3,1.   Oleg Deripaska Consulting Work .........................................................                       131
6,4,11.  Political Consulting Work .....................................................................                132
6,5,iii. Konstantin Kilimnik ........................ ..................................................... . 132
6,6,b. Contacts during Paul Manafort's Time with the Trump Campaign .............. 134
6,7,i. Paul Manafort Joins the Campaign .........................................................                       134
6,8,ii. Paul Manafort's Campaign-Period Contacts .............................. ............ 135
6,9,iii. Paul Manafort's Two Campaign-Period Meetings with Konstantin
6,10,Kilimnik in the United States .............................. .................................. 138
6,11,c. Post-Resignation Activities ............................................................................              141
6,12,B. Post-Election and Transition-Period Contacts ..........................................................                       144
6,13,1. Immediate Post-Election Activity .......................................................................                  144
6,14,a. Outreach from the Russian Government.. ...................................................                        ... 145
6,15,b. High-Level Encouragement of Contacts through Alternative Channels ....... 146
6,16,2. Kirill Dmitriev's Transition-Era Outreach to the Incoming Administration ...... 147
6,17,a. Background .................... ................ ........................................ ........................ 147
6,18,b.  Kirill Dmitriev's            Post-Election              Contacts With the Incoming
6,19,Administration .............. ............... .......................................... .......... ............ 149
6,20,c. Erik Prince and Kirill Dmitriev Meet in the Seychelles ................................ 151
6,21,i.    George Nader and Erik Prince Arrange Seychelles Meeting with
6,22,Dmitriev ..... ............................................. ................................ ............... 151
6,23,11.  The Seychelles Meetings .............. ........................................... ............... 153
6,24,iii. Erik Prince's Meeting with Steve Bannon after the Seychelles Trip .... 155
6,25,d. Kirill Dmitriev's Post-Election Contact with Rick Gerson Regarding
6,26,U .S.-Russia Relations ...................... ............................................................          156
6,27,3. Ambassador Kislyak's Meeting with Jared Kushner and Michael Flynn in
6,28,Trump Tower Following the Election .................................................................                     159
6,29,4. Jared Kushner' s Meeting with Sergey Gorkov ...................................... ............. 161
6,30,5. Petr A ven' s Outreach Efforts to the Transition Team ........................................                            163
6,31,6. Carter Page Contact with Deputy Prime Minister Arkady Dvorkovich ............. 166
6,32,7. Contacts With and Through Michael T. Flynn ....... .................... ................ ........ 167
6,33,a. United Nations Vote on Israeli Settlements .............................. ...... ............... 167
6,34,b. U.S. Sanctions Against Russia ............ ....................... .................................... 168
6,35,V. PROSECUTION AND DECLINATION DECISIONS ........................................................................                      174
6,36,"A. Russian ""Active Measures"" Social Media Campaign ..................... .......................... 174"
6,37,IV
6,38,NA
7,1,U.S. Department of Justice
7,2,AtterAe~ \\' erk Prea1::1et// Mft) CeHtttil'l Material Preteetea UAaer Fea. R. Criffl. P. 6(e)
7,3,1                         1
7,4,B. Russian Hacking and Dumping Operations ......................... ................ ..................... 175
7,5,1. Section 1030 Computer-Intrusion Conspiracy ....................................................                                                       175
7,6,a. Background .................. .......................... ......... ...............................................                                175
7,7,b. Charging Decision As to                                                                                                                   ....... 176
7,8,2. Potential Section 1030 Violation By                                                                              .............................. 179
7,9,C. Russian Government Outreach and Contacts ......... ............... ..................................... 180
7,10,1. Potential Coordination: Conspiracy and Collusion .............. ............................... 180
7,11,2. Potential Coordination: Foreign Agent Statutes (FARA and 18 U.S.C. § 951). 181
7,12,a. Governing Law ...............................................................................................                                     181
7,13,b. Application .....................................................................................................                                 182
7,14,3. Campaign Finance .................... ........................ .................................. ................ 183
7,15,a. Overview Of Governing Law ............................................. .......................... .. 184
7,16,b . Application to June 9 Trump Tower Meeting ....... ........ ............ ..................... 185
7,17,i. Thing-of -Value Element .......... ....................................................... ........ 186
